,Image_fname,number_non_triangular_junction,total_number_of junction,file name
0,3-15-700x-1-01.tif,2,424,non_triangular_junction_3-15-700x-1-01.csv
1,3-15-700x-1-02.tif,6,429,non_triangular_junction_3-15-700x-1-02.csv
2,3-15-700x-1-03.tif,6,379,non_triangular_junction_3-15-700x-1-03.csv
3,3-15-700x-1-04.tif,2,358,non_triangular_junction_3-15-700x-1-04.csv
4,3-15-700x-1-05.tif,0,360,non_triangular_junction_3-15-700x-1-05.csv
5,5-20-700x-2-01.tif,14,585,non_triangular_junction_5-20-700x-2-01.csv
6,5-20-700x-2-02.tif,4,612,non_triangular_junction_5-20-700x-2-02.csv
7,5-20-700x-2-03.tif,10,598,non_triangular_junction_5-20-700x-2-03.csv
8,5-20-700x-2-04.tif,12,521,non_triangular_junction_5-20-700x-2-04.csv
9,5-20-700x-2-06.tif,8,487,non_triangular_junction_5-20-700x-2-06.csv
0,3-07-400x-1-01.tif,30,798,non_triangular_junction_3-07-400x-1-01.csv
1,3-07-400x-1-02.tif,12,803,non_triangular_junction_3-07-400x-1-02.csv
2,3-07-400x-1-03.tif,18,779,non_triangular_junction_3-07-400x-1-03.csv
3,3-07-400x-1-04.tif,27,804,non_triangular_junction_3-07-400x-1-04.csv
4,3-07-400x-2-01.tif,16,788,non_triangular_junction_3-07-400x-2-01.csv
5,3-07-400x-2-02.tif,18,762,non_triangular_junction_3-07-400x-2-02.csv
6,3-07-400x-2-03.tif,6,764,non_triangular_junction_3-07-400x-2-03.csv
7,3-07-400x-2-04.tif,23,849,non_triangular_junction_3-07-400x-2-04.csv
8,5-22-400x-1-01.tif,4,523,non_triangular_junction_5-22-400x-1-01.csv
9,5-22-400x-1-03.tif,6,597,non_triangular_junction_5-22-400x-1-03.csv
10,5-22-400x-1-05.tif,4,507,non_triangular_junction_5-22-400x-1-05.csv
11,6-21-400x-1-01.tif,31,681,non_triangular_junction_6-21-400x-1-01.csv
12,6-21-400x-1-02.tif,22,597,non_triangular_junction_6-21-400x-1-02.csv
13,7-15-400x-1-01.tif,2,290,non_triangular_junction_7-15-400x-1-01.csv
14,7-15-400x-1-02.tif,3,323,non_triangular_junction_7-15-400x-1-02.csv
15,7-15-400x-1-03.tif,0,292,non_triangular_junction_7-15-400x-1-03.csv
16,7-15-400x-1-04.tif,4,339,non_triangular_junction_7-15-400x-1-04.csv
17,7-15-400x-1-05.tif,8,374,non_triangular_junction_7-15-400x-1-05.csv
