,axis-0,axis-1
3,6.5,1369.0
5,7.0,1166.0
41,48.0,1343.5
46,51.5,949.0
78,82.0,1596.0
80,84.0,1029.5
85,87.0,609.0
90,97.0,989.0
91,99.0,496.5
93,101.5,894.0
97,106.5,18.0
101,108.0,804.0
127,147.5,479.0
131,151.0,815.0
180,221.5,1009.0
184,225.0,1002.5
203,243.5,883.0
204,244.0,638.5
218,262.0,1254.0
223,266.0,1280.0
341,439.5,387.0
342,440.0,1068.0
376,495.0,1008.5
379,498.0,311.5
382,501.0,598.0
425,556.0,1131.0
426,559.0,24.5
427,560.0,20.0
429,563.0,248.5
554,794.5,896.0
557,796.0,774.0
639,902.0,1448.5
643,904.5,1420.0
685,965.0,103.0
691,968.0,64.5
708,988.5,31.0
711,990.0,1384.0
713,993.0,281.0
795,1123.5,1282.0
796,1125.0,92.0
847,1192.0,571.0
848,1192.0,592.0
