,axis-0,axis-1
3,7.0,546.5
10,10.0,587.0
15,12.0,507.0
25,14.5,748.5
32,17.0,210.5
33,17.0,758.0
34,17.0,800.0
35,17.0,822.5
37,18.0,347.0
42,20.0,247.0
48,21.0,850.5
53,24.0,260.0
64,30.0,1377.0
69,33.0,1127.0
73,35.0,322.0
75,35.0,1002.0
85,43.0,926.0
86,45.0,1184.0
87,46.0,1182.0
88,47.0,1188.0
93,49.0,1239.5
94,50.5,1181.0
95,51.0,26.0
97,51.0,424.0
98,52.0,1272.5
99,52.0,1279.0
102,53.0,1263.5
118,66.0,1359.0
119,67.0,1421.5
130,73.0,1319.0
132,74.0,461.0
135,75.0,162.0
136,75.0,1510.0
138,76.0,232.0
149,78.0,627.0
152,79.0,177.5
156,80.0,612.0
157,80.0,1487.0
158,80.0,1489.0
160,82.0,693.0
170,88.5,133.0
173,89.0,176.0
175,89.0,788.0
176,90.0,764.5
178,90.0,807.5
182,91.0,817.5
184,91.66666666666667,1310.6666666666667
188,93.33333333333333,180.33333333333334
191,98.0,995.5
206,109.0,878.0
208,110.5,472.0
209,110.0,884.5
211,110.0,1090.5
212,112.5,1061.0
218,116.0,1138.5
231,124.0,1477.0
232,125.0,619.0
233,126.0,615.5
236,127.0,509.0
237,127.0,611.0
238,127.5,698.0
240,130.0,339.0
247,136.0,22.0
248,136.0,29.5
275,159.0,751.0
279,163.0,197.5
284,165.0,217.5
290,166.0,1595.0
291,167.5,684.0
294,168.0,1363.5
299,170.0,1397.5
301,171.0,704.0
306,174.5,1108.0
307,174.0,1279.0
316,175.5,1192.5
317,175.0,1587.0
321,176.0,1249.5
323,177.5,602.0
350,198.0,337.0
352,202.5,25.0
363,209.5,336.0
366,212.0,264.0
367,212.0,1570.5
368,213.0,1574.0
376,224.0,56.0
377,224.0,758.5
386,234.5,627.0
391,238.0,1236.0
392,239.0,76.0
394,240.0,91.5
396,241.0,1256.0
397,242.5,130.0
398,242.0,828.0
400,242.0,1329.5
402,245.0,702.0
404,246.0,135.0
405,246.0,1276.0
407,247.0,1588.5
408,248.0,1278.0
410,254.0,755.0
421,263.0,1554.0
423,265.0,1152.0
428,269.0,368.5
434,272.0,545.0
435,272.5,918.0
439,274.5,323.0
444,276.0,44.0
447,277.0,433.5
451,280.0,252.5
462,289.0,607.0
464,292.0,537.5
479,307.0,1137.5
482,309.5,1101.0
485,310.0,1172.0
489,313.0,662.5
503,319.0,671.5
508,321.0,1096.5
509,322.5,1390.0
511,323.5,1205.0
520,330.0,1429.0
523,334.5,239.0
533,353.0,189.5
535,353.0,1530.0
540,360.0,433.0
549,364.0,1083.0
553,367.5,1334.0
555,370.3333333333333,520.3333333333334
556,371.0,933.0
561,373.0,837.0
564,375.5,1116.0
571,380.0,169.0
575,383.0,605.5
580,385.5,1163.5
584,388.0,1461.0
587,389.0,805.0
588,389.0,1190.5
607,410.0,319.0
609,413.0,49.0
619,421.0,184.0
622,424.0,297.5
625,428.0,425.0
626,428.0,1352.5
627,429.0,411.0
628,429.0,1349.0
633,431.0,1277.5
635,433.5,457.0
652,453.5,434.0
653,454.0,442.5
655,455.0,1065.5
658,456.0,1260.0
682,495.5,637.0
685,497.0,258.0
689,498.0,129.0
699,503.0,1366.0
701,505.0,960.0
715,525.5,470.0
719,527.0,588.5
751,564.0,1490.0
752,566.0,79.0
777,602.0,593.0
781,607.0,636.0
790,615.0,646.0
791,617.0,41.5
792,617.0,48.5
793,617.5,52.0
795,618.0,654.5
796,618.0,1224.0
802,622.0,1269.0
804,625.3333333333334,750.3333333333334
817,634.0,1191.0
819,639.0,1131.0
834,667.0,462.0
836,668.0,447.0
856,699.0,731.0
858,700.0,910.5
868,711.5,1051.0
870,711.0,1472.5
879,723.5,1248.0
884,728.5,1191.0
893,774.0,305.0
895,778.0,577.0
932,805.0,530.0
937,810.0,670.0
945,838.0,10.5
947,845.0,888.0
995,930.0,1311.5
996,933.0,360.0
1033,990.0,611.0
1035,991.0,215.5
1061,1048.0,1116.0
1063,1049.0,1279.5
1079,1064.0,1395.0
1081,1065.0,1427.0
1084,1069.0,547.0
1088,1072.0,252.0
1089,1072.5,1332.0
1091,1075.0,262.0
1124,1109.0,1324.5
1126,1110.0,1564.0
1141,1140.0,814.0
1142,1141.5,1410.0
